customer_id,age,monthly_income,occupation,city,state,txn_count,avg_transaction,grocery_spend,fuel_spend,shopping_spend,electricity_bill,internet_bill,delay_days,recharge_frequency,monthly_data_usage,call_minutes,total_spend,savings,utilization,payment_score,engagement_score,default,alt_credit_score
1,56,141932,Engineer,Port Davidfort,Telangana,148,245,2687,3515,2830,2072,899,10,8,78,692,9032,132900,0.0636361074317278,90,226,0,849
2,38,64886,Teacher,East Tonystad,Karnataka,253,3656,8968,60,12082,2534,1025,14,1,67,1455,21110,43776,0.3253398267731097,86,320,0,849
3,40,97498,Shop Owner,Port Heather,Delhi,71,3977,6796,2591,9258,2758,1255,8,6,19,788,18645,78853,0.1912346919936819,92,90,0,849
4,57,26023,Engineer,Ellisview,Telangana,55,4767,6621,1200,13101,1375,1351,0,6,69,571,20922,5101,0.8039810936479268,100,124,0,849
5,19,69735,Driver,Goldenberg,Gujarat,116,1286,7472,136,1529,1674,1288,17,9,33,446,9137,60598,0.1310245931024593,83,149,0,849
6,38,95305,Freelancer,Salazarshire,Telangana,128,2644,7706,661,2972,1042,1427,11,3,51,337,11339,83966,0.1189759194166098,89,179,0,849
7,42,140608,Engineer,Alexanderhaven,Karnataka,137,2358,586,2512,6719,1376,1273,11,6,24,1364,9817,130791,0.0698182180245789,89,161,0,849
8,59,140523,Driver,Mcdonaldview,Karnataka,233,2554,2200,3670,3200,1698,1377,19,3,70,217,9070,131453,0.0645445941233819,81,303,0,849
9,20,79092,Engineer,Doylebury,Telangana,179,3679,2147,3318,4187,1354,1458,25,6,44,1775,9652,69440,0.1220350983664593,75,223,0,849
10,26,97313,Driver,North Paulshire,Maharashtra,104,4595,9176,645,11781,404,552,6,3,68,594,21602,75711,0.2219847296866811,94,172,0,849
11,31,78148,Teacher,Petersonhaven,Delhi,113,4807,4884,720,5233,1481,848,22,8,36,1767,10837,67311,0.138672774735118,78,149,0,849
12,45,130174,Driver,New Elizabeth,Delhi,254,548,7617,4729,2173,2077,598,14,3,43,829,14519,115655,0.1115353296357183,86,297,0,849
13,25,120510,Engineer,Port Patricia,Maharashtra,134,3029,7678,2253,2794,2048,400,23,6,12,780,12725,107785,0.1055928968550327,77,146,0,849
14,53,29457,Freelancer,Brandonport,Gujarat,66,196,3953,4507,6283,2679,1135,14,9,25,411,14743,14714,0.5004922429303731,86,91,0,849
15,21,19692,Teacher,Port Mark,Gujarat,91,2460,6128,136,3860,2740,1173,28,3,3,133,10124,9568,0.5141174080845013,72,94,1,313
16,51,47065,Freelancer,Millerbury,Delhi,38,2292,6818,448,2448,391,746,12,7,48,756,9714,37351,0.2063954106023584,88,86,0,849
17,31,21534,Freelancer,North Heidi,Delhi,160,1970,4688,4015,738,616,1491,11,8,40,183,9441,12093,0.4384229590415157,89,200,0,845
18,57,33247,Shop Owner,Nicholashaven,Gujarat,224,2657,6052,4340,5427,2243,741,25,4,11,913,15819,17428,0.4758023280295966,75,235,0,849
19,41,22185,Student,South Jennifer,Delhi,147,4216,5888,1348,13092,1545,972,15,5,13,391,20328,1857,0.9162947937795808,85,160,0,844
20,58,48044,Shop Owner,Ramirezbury,Maharashtra,26,866,9512,192,2276,577,1308,24,3,47,1287,11980,36064,0.2493547581383731,76,73,0,849
21,42,50774,Student,Joseton,Maharashtra,81,4674,6814,250,2288,1309,1174,17,5,18,208,9352,41422,0.1841887580257612,83,99,0,849
22,25,134375,Engineer,Greghaven,Karnataka,226,3750,9859,3893,7311,1138,1053,25,5,21,1599,21063,113312,0.1567479069767441,75,247,0,849
